"","CpG","avg_meth_rate","min_pval","pvals_cloneass","Type"
"AMPL388465","AMPL388465",0.636658264314008,3.52551501763601e-05,2.56354031834608e-175,"Dynamic"
"AMPL371555","AMPL371555",0.888584803745049,0.000706476816211534,1.75158873779383e-20,"Static"
"AMPL389988","AMPL389988",0.7194094346417,0.00140414145140661,3.61373477952774e-142,"Static"
"AMPL371327","AMPL371327",0.789341015484336,8.34296395951035e-12,5.80095351344525e-33,"Dynamic"
"AMPL377634","AMPL377634",0.911919337414476,4.50472159291067e-05,7.15678247865291e-12,NA
"AMPL388836","AMPL388836",0.726107310046813,5.41753732374345e-05,1.94471365695802e-10,"Dynamic"
"AMPL390397","AMPL390397",0.872812387468491,0.000867995854314151,0.000326031573055691,"Static"
"AMPL388489","AMPL388489",0.85135037810587,0.111786108319819,0,"Static"
"AMPL371674","AMPL371674",0.968815268275117,0.00302024606474413,1.60205709052408e-08,NA
"AMPL388468","AMPL388468",0.956283759452647,0.00452390652756839,1,NA
"AMPL371476","AMPL371476",0.811091105509543,0.0187859957743909,2.58141576985716e-47,"Static"
"AMPL371466","AMPL371466",0.562045372704357,9.129954742214e-09,9.03567260311036e-49,"Dynamic"
"AMPL371764","AMPL371764",0.882895210658984,0.00606391176905333,7.06353647694366e-62,"Static"
"AMPL390235","AMPL390235",0.940583363341736,0.0112503260766459,2.02168770200162e-127,NA
"AMPL388782","AMPL388782",0.973280518545193,0.0959313729016731,1,NA
"AMPL371324","AMPL371324",0.951602448685632,8.86897217536681e-11,1,NA
"AMPL388775","AMPL388775",0.271011883327332,0.000142957546073072,0,"Static"
"AMPL390374","AMPL390374",0.948073460568959,0.00681523198503156,1,NA
"AMPL371524","AMPL371524",0.653583003240907,5.5428939616425e-11,2.69388432298126e-28,"Dynamic"
"AMPL390274","AMPL390274",0.929996398991718,3.30276307767694e-05,1,NA
"AMPL388433","AMPL388433",0.711919337414476,2.84600385834664e-33,2.41762649904025e-36,"Dynamic"
"AMPL388593","AMPL388593",0.831904933381347,0.000737739145901499,1.0382402061363e-36,"Static"
"AMPL388242","AMPL388242",0.45293482175009,0.00144609339606226,0,"Static"
"AMPL388286","AMPL388286",0.938926899531869,0.000164667804992889,9.62935104771236e-10,NA
"AMPL388663","AMPL388663",0.417861001080302,1.66209855262572e-08,7.8347636577288e-73,"Dynamic"
"AMPL377123","AMPL377123",0.265610370903853,6.14752024865747e-16,3.10086123967997e-20,"Dynamic"
"AMPL388579","AMPL388579",0.981850918257112,0.0569282974436324,0.000158841606305739,NA
"AMPL390555","AMPL390555",0.654159164566078,1.17183192619016e-25,0.0114884349482821,"Dynamic"
"AMPL388427","AMPL388427",0.487864602088585,0.00474127266058655,0,"Static"
"AMPL388684","AMPL388684",0.753763053655023,0.0153037601696931,0,"Static"
"AMPL388795","AMPL388795",0.968023046453007,2.91895758805683e-06,0.000589355419463884,NA
"AMPL371656","AMPL371656",0.91840115232265,0.0235689368387447,2.39737571550711e-31,NA
"AMPL388365","AMPL388365",0.836082102988837,1.05212383593828e-66,3.67140981574211e-05,"Dynamic"
